# CONDITIONED_INTERNAL = gene size, gene density, inverse mac, log(gene size), log(gene density), log(inverse mac)
GENE       CHR      START       STOP  NSNPS  NPARAM     N        ZSTAT  ZFITTED_BASE  ZRESID_BASE
79501        1      69091      70008      1       1  1000       1.6476   -1.0492e-06       1.6476
100996442    1     142447     174392      1       1  1000      -1.0929   -1.0492e-06      -1.0929
148398       1     859993     879961     74      17  1000     -0.85911   -1.0492e-06     -0.85911
26155        1     879583     894679     36       4  1000      0.25978   -1.0492e-06      0.25978
339451       1     895967     901099     30       6  1000     -0.41478   -1.0492e-06     -0.41478
84069        1     901872     910488     37      14  1000      -1.8415   -1.0492e-06      -1.8415
84808        1     910579     917473     18       4  1000     -0.53886   -1.0492e-06     -0.53886
57801        1     934342     936608      4       2  1000      -1.5545   -1.0492e-06      -1.5545
9636         1     948847     949920      5       2  1000      0.96928   -1.0492e-06      0.96928
375790       1     955503     991499    104      11  1000      0.24518   -1.0492e-06      0.24518
401934       1    1007126    1009687      5       2  1000      0.77252   -1.0492e-06      0.77252
54991        1    1017198    1051736    107       9  1000      0.23521   -1.0492e-06      0.23522
254173       1    1109286    1133315    121      13  1000      -1.6198   -1.0492e-06      -1.6198
8784         1    1138888    1142163      7       1  1000     -0.48865   -1.0492e-06     -0.48865
7293         1    1146706    1149703      6       2  1000      -1.2043   -1.0492e-06      -1.2043
51150        1    1152288    1167447     89       4  1000     0.074301   -1.0492e-06     0.074302
126792       1    1167629    1170421      3       2  1000      0.14293   -1.0492e-06      0.14293
388581       1    1177826    1182102      9       2  1000      -1.2884   -1.0492e-06      -1.2884
118424       1    1189292    1209234     24       5  1000     0.061432   -1.0492e-06     0.061433
6339         1    1215816    1227409     42      17  1000     0.020361   -1.0492e-06     0.020362
116983       1    1227764    1243304     54      11  1000       0.2028   -1.0492e-06       0.2028
126789       1    1243962    1247057      2       1  1000      0.16508   -1.0492e-06      0.16508
54973        1    1246965    1260067     18       5  1000      0.42443   -1.0492e-06      0.42443
80772        1    1260136    1264276      9       2  1000     -0.45582   -1.0492e-06     -0.45582
83756        1    1266726    1269844      6       3  1000    -0.038778   -1.0492e-06    -0.038777
1855         1    1270658    1284509     32       6  1000    -0.091403   -1.0492e-06    -0.091402
54587        1    1288071    1297183     26       5  1000    -0.036563   -1.0492e-06    -0.036562
54998        1    1309110    1310818      3       2  1000    -0.059634   -1.0492e-06    -0.059633
81669        1    1321091    1334718     16       5  1000       -0.327   -1.0492e-06       -0.327
55052        1    1337276    1342693     10       4  1000     -0.34328   -1.0492e-06     -0.34328
441869       1    1353800    1356824      7       2  1000    -0.028858   -1.0492e-06    -0.028857
643965       1    1361508    1363167      7       2  1000      0.20446   -1.0492e-06      0.20446
64856        1    1370903    1378262     16       4  1000      0.52803   -1.0492e-06      0.52803
219293       1    1378152    1405538     88      11  1000        2.946   -1.0492e-06        2.946
83858        1    1407139    1444852     69       9  1000       2.6889   -1.0492e-06       2.6889
55210        1    1447523    1470067     67      10  1000       2.3817   -1.0492e-06       2.3817
339453       1    1470158    1475740      8       3  1000      0.95558   -1.0492e-06      0.95558
29101        1    1477053    1510262     73       6  1000      0.75268   -1.0492e-06      0.75269
643988       1    1533388    1535476      2       1  1000      0.51357   -1.0492e-06      0.51357
142678       1    1550795    1565990     29       5  1000      0.85164   -1.0492e-06      0.85164
984          1    1571100    1590473     34       6  1000    -0.048372   -1.0492e-06    -0.048371
728661       1    1591486    1624243     85      15  1000     -0.41976   -1.0492e-06     -0.41976
728642       1    1633822    1655999    119       8  1000     0.015642   -1.0492e-06     0.015643
9906         1    1656277    1677438     70       8  1000     0.029638   -1.0492e-06     0.029639
65220        1    1682671    1711508     59       7  1000     0.081314   -1.0492e-06     0.081315
2782         1    1716725    1822552    112      10  1000     -0.18242   -1.0492e-06     -0.18242
163688       1    1846266    1848733     11       3  1000     -0.23687   -1.0492e-06     -0.23687
339456       1    1849029    1850740      5       2  1000      -0.2502   -1.0492e-06      -0.2502
85452        1    1853390    1935276    388      29  1000    0.0037231   -1.0492e-06    0.0037242
2563         1    1950768    1962192     22       4  1000      -0.1417   -1.0492e-06      -0.1417
5590         1    1981909    2116834    431      31  1000     -0.39336   -1.0492e-06     -0.39335
100506504    1    2113250    2115812      3       2  1000      -2.4903   -1.0492e-06      -2.4903
199990       1    2115899    2144159     35       6  1000     0.076118   -1.0492e-06     0.076119
6497         1    2160134    2241652    191      32  1000     -0.42532   -1.0492e-06     -0.42532
79906        1    2251719    2323190    264      27  1000       2.2544   -1.0492e-06       2.2544
11079        1    2323214    2336883     30       8  1000      0.69416   -1.0492e-06      0.69416
5192         1    2336241    2344010     19       6  1000       1.2434   -1.0492e-06       1.2434
9651         1    2407754    2436964     46       6  1000     -0.62144   -1.0492e-06     -0.62144
55229        1    2439975    2458061     36       5  1000     -0.41473   -1.0492e-06     -0.41473
