# CONDITIONED_INTERNAL = gene size, gene density, inverse mac, log(gene size), log(gene density), log(inverse mac)
GENE       CHR      START       STOP  NSNPS  NPARAM     N        ZSTAT  ZFITTED_BASE  ZRESID_BASE
79501        1      69091      70008      1       1  1000      0.60659   -3.4921e-06      0.60659
100996442    1     142447     174392      1       1  1000     -0.74995   -3.4921e-06     -0.74995
148398       1     859993     879961     74      17  1000       1.3183   -3.4921e-06       1.3183
26155        1     879583     894679     36       4  1000     -0.12063   -3.4921e-06     -0.12062
339451       1     895967     901099     30       6  1000      0.86478   -3.4921e-06      0.86479
84069        1     901872     910488     37      14  1000      0.71543   -3.4921e-06      0.71544
84808        1     910579     917473     18       4  1000     -0.20748   -3.4921e-06     -0.20748
57801        1     934342     936608      4       2  1000       1.2805   -3.4921e-06       1.2805
9636         1     948847     949920      5       2  1000       0.1026   -3.4921e-06       0.1026
375790       1     955503     991499    104      11  1000      0.26261   -3.4921e-06      0.26261
401934       1    1007126    1009687      5       2  1000      0.23115   -3.4921e-06      0.23115
54991        1    1017198    1051736    107       9  1000      0.27664   -3.4921e-06      0.27665
254173       1    1109286    1133315    121      13  1000      -1.3488   -3.4921e-06      -1.3488
8784         1    1138888    1142163      7       1  1000      -0.1586   -3.4921e-06      -0.1586
7293         1    1146706    1149703      6       2  1000       -1.397   -3.4921e-06       -1.397
51150        1    1152288    1167447     89       4  1000     -0.98543   -3.4921e-06     -0.98542
126792       1    1167629    1170421      3       2  1000      0.23262   -3.4921e-06      0.23263
388581       1    1177826    1182102      9       2  1000      -1.1274   -3.4921e-06      -1.1274
118424       1    1189292    1209234     24       5  1000     -0.30429   -3.4921e-06     -0.30428
6339         1    1215816    1227409     42      17  1000      0.83559   -3.4921e-06      0.83559
116983       1    1227764    1243304     54      11  1000      0.56266   -3.4921e-06      0.56266
126789       1    1243962    1247057      2       1  1000      -1.3328   -3.4921e-06      -1.3328
54973        1    1246965    1260067     18       5  1000      0.42222   -3.4921e-06      0.42222
80772        1    1260136    1264276      9       2  1000      0.88956   -3.4921e-06      0.88956
83756        1    1266726    1269844      6       3  1000      0.19509   -3.4921e-06       0.1951
1855         1    1270658    1284509     32       6  1000       0.8199   -3.4921e-06       0.8199
54587        1    1288071    1297183     26       5  1000      0.64394   -3.4921e-06      0.64395
54998        1    1309110    1310818      3       2  1000       2.0096   -3.4921e-06       2.0096
81669        1    1321091    1334718     16       5  1000     -0.25043   -3.4921e-06     -0.25042
55052        1    1337276    1342693     10       4  1000       1.5307   -3.4921e-06       1.5307
441869       1    1353800    1356824      7       2  1000      0.56288   -3.4921e-06      0.56288
643965       1    1361508    1363167      7       2  1000       1.1425   -3.4921e-06       1.1425
64856        1    1370903    1378262     16       4  1000       1.1796   -3.4921e-06       1.1796
219293       1    1378152    1405538     88      11  1000     -0.63396   -3.4921e-06     -0.63395
83858        1    1407139    1444852     69       9  1000      -1.1368   -3.4921e-06      -1.1368
55210        1    1447523    1470067     67      10  1000     -0.39753   -3.4921e-06     -0.39753
339453       1    1470158    1475740      8       3  1000       -1.062   -3.4921e-06       -1.062
29101        1    1477053    1510262     73       6  1000      0.28338   -3.4921e-06      0.28339
643988       1    1533388    1535476      2       1  1000     -0.62343   -3.4921e-06     -0.62343
142678       1    1550795    1565990     29       5  1000     -0.39302   -3.4921e-06     -0.39302
984          1    1571100    1590473     34       6  1000     -0.88404   -3.4921e-06     -0.88404
728661       1    1591486    1624243     85      15  1000     -0.91342   -3.4921e-06     -0.91342
728642       1    1633822    1655999    119       8  1000     -0.17985   -3.4921e-06     -0.17985
9906         1    1656277    1677438     70       8  1000      0.51678   -3.4921e-06      0.51678
65220        1    1682671    1711508     59       7  1000      0.71305   -3.4921e-06      0.71305
2782         1    1716725    1822552    112      10  1000     -0.15172   -3.4921e-06     -0.15172
163688       1    1846266    1848733     11       3  1000       1.1451   -3.4921e-06       1.1451
339456       1    1849029    1850740      5       2  1000       1.1747   -3.4921e-06       1.1747
85452        1    1853390    1935276    388      29  1000      0.40756   -3.4921e-06      0.40756
2563         1    1950768    1962192     22       4  1000       1.2967   -3.4921e-06       1.2967
5590         1    1981909    2116834    431      31  1000     -0.53229   -3.4921e-06     -0.53229
100506504    1    2113250    2115812      3       2  1000     -0.51205   -3.4921e-06     -0.51205
199990       1    2115899    2144159     35       6  1000      -0.1043   -3.4921e-06      -0.1043
6497         1    2160134    2241652    191      32  1000       0.2116   -3.4921e-06       0.2116
79906        1    2251719    2323190    264      27  1000      -1.9137   -3.4921e-06      -1.9137
11079        1    2323214    2336883     30       8  1000      -1.0692   -3.4921e-06      -1.0692
5192         1    2336241    2344010     19       6  1000     -0.55672   -3.4921e-06     -0.55672
9651         1    2407754    2436964     46       6  1000       1.1671   -3.4921e-06       1.1671
55229        1    2439975    2458061     36       5  1000       1.1925   -3.4921e-06       1.1925
8764         1    2487291    2495268     11       2  1000       1.9565   -3.4921e-06       1.9565
127281       1    2517899    2522908      6       2  1000       1.8391   -3.4921e-06       1.8391
79258        1    2522078    2564499    110       3  1000       1.7645   -3.4921e-06       1.7645
100287898    1    2572807    2706230    142      14  1000       1.5854   -3.4921e-06       1.5854
140625       1    2938046    2939467      2       1  1000      -1.8216   -3.4921e-06      -1.8215
63976        1    2985565    3355185   1283     151  1000     -0.67495   -3.4921e-06     -0.67495
27237        1    3371147    3397677     69       8  1000       1.5954   -3.4921e-06       1.5954
1953         1    3404506    3528059    391      60  1000      0.82476   -3.4921e-06      0.82477
127262       1    3541556    3546695     14       3  1000       0.2957   -3.4921e-06      0.29571
49856        1    3547331    3566671     35       7  1000       1.0609   -3.4921e-06       1.0609
7161         1    3569129    3652765    265      44  1000      0.92346   -3.4921e-06      0.92347
148870       1    3668965    3688209     58      11  1000     -0.87407   -3.4921e-06     -0.87407
388588       1    3689352    3692546     12       5  1000      -0.7704   -3.4921e-06      -0.7704
57470        1    3696784    3713068     48       9  1000     -0.56454   -3.4921e-06     -0.56453
9731         1    3728645    3773797    233      14  1000     -0.24098   -3.4921e-06     -0.24098
1677         1    3773845    3801993    157      20  1000      0.42779   -3.4921e-06      0.42779
339448       1    3805697    3816857     35       5  1000    -0.077554   -3.4921e-06     -0.07755
55966        1    4715105    4843851    499      76  1000      0.62038   -3.4921e-06      0.62038
261734       1    5922870    6052618    317      13  1000      0.62992   -3.4921e-06      0.62992
8514         1    6052358    6161253    240      40  1000      0.40671   -3.4921e-06      0.40672
26038        1    6161847    6240194    263      25  1000     -0.31342   -3.4921e-06     -0.31342
6146         1    6245080    6259679     30       5  1000      -1.3398   -3.4921e-06      -1.3398
388591       1    6266189    6281359     31       4  1000     -0.79626   -3.4921e-06     -0.79625
23463        1    6281253    6296044     20       4  1000    -0.057125   -3.4921e-06    -0.057122
390992       1    6304252    6305638      3       1  1000     -0.88389   -3.4921e-06     -0.88389
387509       1    6307406    6321035     32       2  1000     -0.80265   -3.4921e-06     -0.80265
11332        1    6324332    6453826    324      17  1000     -0.49021   -3.4921e-06     -0.49021
54626        1    6475292    6484724     25       4  1000     -0.90636   -3.4921e-06     -0.90636
83715        1    6484836    6521004     95      10  1000     -0.19586   -3.4921e-06     -0.19586
8718         1    6520787    6527432     17       5  1000      0.66021   -3.4921e-06      0.66022
57449        1    6526152    6580121    128      22  1000     -0.57486   -3.4921e-06     -0.57485
79707        1    6581407    6614658    106       2  1000     -0.87462   -3.4921e-06     -0.87462
80835        1    6614987    6639817     51       9  1000      -1.3449   -3.4921e-06      -1.3448
3104         1    6640051    6649340      3       1  1000      0.78629   -3.4921e-06      0.78629
9903         1    6650784    6662958     16       3  1000        1.134   -3.4921e-06        1.134
148479       1    6673756    6684093     16       3  1000      0.39489   -3.4921e-06       0.3949
90326        1    6684925    6695646     22       3  1000     -0.12052   -3.4921e-06     -0.12051
55735        1    6694228    6761966    104       8  1000      0.85828   -3.4921e-06      0.85828
23261        1    6845384    7829766   2248     185  1000     0.036656   -3.4921e-06     0.036659
9341         1    7831329    7841492     27       7  1000       1.0482   -3.4921e-06       1.0482
