# CONDITIONED_INTERNAL = gene size, gene density, inverse mac, log(gene size), log(gene density), log(inverse mac)
GENE       CHR      START       STOP  NSNPS  NPARAM     N        ZSTAT  ZFITTED_BASE  ZRESID_BASE
79501        1      69091      70008      1       1  1000      0.55049    -4.343e-06      0.55049
100996442    1     142447     174392      1       1  1000     -0.10236    -4.343e-06     -0.10236
148398       1     859993     879961     74      17  1000      0.27803    -4.343e-06      0.27804
26155        1     879583     894679     36       4  1000     -0.49785    -4.343e-06     -0.49785
339451       1     895967     901099     30       6  1000     -0.63204    -4.343e-06     -0.63204
84069        1     901872     910488     37      14  1000      0.37864    -4.343e-06      0.37864
84808        1     910579     917473     18       4  1000    -0.094032    -4.343e-06    -0.094028
57801        1     934342     936608      4       2  1000     -0.89347    -4.343e-06     -0.89347
9636         1     948847     949920      5       2  1000      0.56392    -4.343e-06      0.56393
375790       1     955503     991499    104      11  1000      0.62795    -4.343e-06      0.62795
401934       1    1007126    1009687      5       2  1000      0.12622    -4.343e-06      0.12623
54991        1    1017198    1051736    107       9  1000      0.92471    -4.343e-06      0.92471
254173       1    1109286    1133315    121      13  1000       0.5853    -4.343e-06       0.5853
8784         1    1138888    1142163      7       1  1000      0.93232    -4.343e-06      0.93233
7293         1    1146706    1149703      6       2  1000      -1.1677    -4.343e-06      -1.1676
51150        1    1152288    1167447     89       4  1000     -0.52498    -4.343e-06     -0.52498
126792       1    1167629    1170421      3       2  1000      -2.1049    -4.343e-06      -2.1049
388581       1    1177826    1182102      9       2  1000      0.73686    -4.343e-06      0.73686
118424       1    1189292    1209234     24       5  1000      0.57038    -4.343e-06      0.57038
6339         1    1215816    1227409     42      17  1000       1.0082    -4.343e-06       1.0082
116983       1    1227764    1243304     54      11  1000       2.1594    -4.343e-06       2.1594
126789       1    1243962    1247057      2       1  1000       1.8546    -4.343e-06       1.8546
54973        1    1246965    1260067     18       5  1000      0.91712    -4.343e-06      0.91712
80772        1    1260136    1264276      9       2  1000     -0.56122    -4.343e-06     -0.56121
83756        1    1266726    1269844      6       3  1000       1.0943    -4.343e-06       1.0943
1855         1    1270658    1284509     32       6  1000      0.92897    -4.343e-06      0.92897
54587        1    1288071    1297183     26       5  1000      0.99939    -4.343e-06      0.99939
54998        1    1309110    1310818      3       2  1000       1.1714    -4.343e-06       1.1714
81669        1    1321091    1334718     16       5  1000       1.8854    -4.343e-06       1.8854
55052        1    1337276    1342693     10       4  1000       1.9364    -4.343e-06       1.9364
441869       1    1353800    1356824      7       2  1000      0.83958    -4.343e-06      0.83958
643965       1    1361508    1363167      7       2  1000      0.58575    -4.343e-06      0.58575
64856        1    1370903    1378262     16       4  1000       1.1911    -4.343e-06       1.1911
219293       1    1378152    1405538     88      11  1000       3.3181    -4.343e-06       3.3181
83858        1    1407139    1444852     69       9  1000       2.5517    -4.343e-06       2.5517
55210        1    1447523    1470067     67      10  1000       2.7909    -4.343e-06       2.7909
339453       1    1470158    1475740      8       3  1000       1.3109    -4.343e-06       1.3109
29101        1    1477053    1510262     73       6  1000   -0.0067098    -4.343e-06   -0.0067054
643988       1    1533388    1535476      2       1  1000     -0.28254    -4.343e-06     -0.28254
142678       1    1550795    1565990     29       5  1000     -0.87529    -4.343e-06     -0.87528
984          1    1571100    1590473     34       6  1000    -0.079395    -4.343e-06    -0.079391
728661       1    1591486    1624243     85      15  1000      -0.1484    -4.343e-06      -0.1484
728642       1    1633822    1655999    119       8  1000       0.3279    -4.343e-06      0.32791
9906         1    1656277    1677438     70       8  1000       1.6984    -4.343e-06       1.6984
65220        1    1682671    1711508     59       7  1000        1.958    -4.343e-06        1.958
2782         1    1716725    1822552    112      10  1000      0.91487    -4.343e-06      0.91488
163688       1    1846266    1848733     11       3  1000      0.50887    -4.343e-06      0.50888
339456       1    1849029    1850740      5       2  1000       0.6324    -4.343e-06       0.6324
85452        1    1853390    1935276    388      29  1000       1.4545    -4.343e-06       1.4545
2563         1    1950768    1962192     22       4  1000     -0.67072    -4.343e-06     -0.67071
5590         1    1981909    2116834    431      31  1000      0.46135    -4.343e-06      0.46136
100506504    1    2113250    2115812      3       2  1000      0.70017    -4.343e-06      0.70018
199990       1    2115899    2144159     35       6  1000     -0.20965    -4.343e-06     -0.20964
6497         1    2160134    2241652    191      32  1000       1.6648    -4.343e-06       1.6648
79906        1    2251719    2323190    264      27  1000       1.8572    -4.343e-06       1.8572
11079        1    2323214    2336883     30       8  1000     -0.33738    -4.343e-06     -0.33738
5192         1    2336241    2344010     19       6  1000     -0.59636    -4.343e-06     -0.59635
9651         1    2407754    2436964     46       6  1000       3.9137    -4.343e-06       3.9137
55229        1    2439975    2458061     36       5  1000       2.2924    -4.343e-06       2.2924
8764         1    2487291    2495268     11       2  1000       2.6167    -4.343e-06       2.6167
127281       1    2517899    2522908      6       2  1000       1.8049    -4.343e-06       1.8049
79258        1    2522078    2564499    110       3  1000       2.2903    -4.343e-06       2.2903
100287898    1    2572807    2706230    142      14  1000       2.5728    -4.343e-06       2.5728
140625       1    2938046    2939467      2       1  1000     -0.80459    -4.343e-06     -0.80458
63976        1    2985565    3355185   1283     151  1000     0.050299    -4.343e-06     0.050304
27237        1    3371147    3397677     69       8  1000       0.6536    -4.343e-06      0.65361
1953         1    3404506    3528059    391      60  1000      0.39452    -4.343e-06      0.39453
127262       1    3541556    3546695     14       3  1000      -0.6315    -4.343e-06     -0.63149
